[I 2024-12-03 17:06:57,682] Using an existing study with name 'SST-2-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:21:18,668] Trial 176 finished with value: 0.8795871559633027 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5279918987499286, 'batch_size': 179, 'attention_heads': 13, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3010655790002031, 'global_pooling': 'max', 'learning_rate': 0.002027083823306188, 'weight_decay': 1.3327738894932498e-05, 'beta_0': 0.8134116572097442, 'beta_1': 0.9833877054749176, 'epsilon': 3.5175859872486186e-07, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:37:30,030] Trial 214 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6194840196360514, 'batch_size': 196, 'attention_heads': 11, 'hidden_dimension': 197, 'number_of_hidden_layers': 4, 'dropout_rate': 0.357179067443295, 'global_pooling': 'mean', 'learning_rate': 0.0009043921277873382, 'weight_decay': 1.0023396261576512e-05, 'beta_0': 0.8639331280547924, 'beta_1': 0.9827447664413038, 'epsilon': 1.1821328637542972e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:45:34,967] Trial 215 finished with value: 0.5309633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6178914844239269, 'batch_size': 198, 'attention_heads': 11, 'hidden_dimension': 189, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3575416652656904, 'global_pooling': 'mean', 'learning_rate': 0.042186731110657585, 'weight_decay': 1.0152858540593013e-05, 'beta_0': 0.8648450290743546, 'beta_1': 0.9828014168932664, 'epsilon': 1.157496653283271e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:56:42,783] Trial 216 finished with value: 0.8853211009174312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6053081983024937, 'batch_size': 194, 'attention_heads': 11, 'hidden_dimension': 200, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3733284163173226, 'global_pooling': 'mean', 'learning_rate': 0.0008385303552182877, 'weight_decay': 8.508981949295486e-06, 'beta_0': 0.8665313872741657, 'beta_1': 0.9824183760752482, 'epsilon': 1.4083222583561432e-06, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:07:25,667] Trial 217 finished with value: 0.8876146788990825 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6223304508640654, 'batch_size': 210, 'attention_heads': 11, 'hidden_dimension': 205, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36565775311891635, 'global_pooling': 'mean', 'learning_rate': 0.0009463342466473736, 'weight_decay': 1.0763316856505518e-05, 'beta_0': 0.8624891222320018, 'beta_1': 0.9833210882108162, 'epsilon': 1.0926103533486137e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:20:17,730] Trial 218 finished with value: 0.8727064220183486 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5410047845424106, 'batch_size': 204, 'attention_heads': 13, 'hidden_dimension': 242, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3566708933515888, 'global_pooling': 'mean', 'learning_rate': 0.0003993698119131556, 'weight_decay': 7.286460111064756e-06, 'beta_0': 0.8698507981149114, 'beta_1': 0.9828083826129603, 'epsilon': 2.381790406246586e-06, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:28:23,110] Trial 219 finished with value: 0.8795871559633027 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6085421109917218, 'batch_size': 200, 'attention_heads': 12, 'hidden_dimension': 114, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34658792792163334, 'global_pooling': 'mean', 'learning_rate': 0.0006140794976061095, 'weight_decay': 1.430953842844026e-05, 'beta_0': 0.8644645039604031, 'beta_1': 0.9812557465017625, 'epsilon': 8.631775387441077e-07, 'balanced_loss': True, 'epochs': 112, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:40:43,824] Trial 220 finished with value: 0.8830275229357798 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5020458030917562, 'batch_size': 186, 'attention_heads': 11, 'hidden_dimension': 195, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3635922325122962, 'global_pooling': 'mean', 'learning_rate': 0.0007100319016571993, 'weight_decay': 1.2599646821844677e-05, 'beta_0': 0.8677778999629765, 'beta_1': 0.9819222995108345, 'epsilon': 7.647203885627755e-07, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:49:23,086] Trial 221 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5587692586653015, 'batch_size': 191, 'attention_heads': 13, 'hidden_dimension': 124, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30741724269209697, 'global_pooling': 'mean', 'learning_rate': 0.0010707919972740509, 'weight_decay': 1.6246373125470696e-05, 'beta_0': 0.8609384615925317, 'beta_1': 0.9830223549859136, 'epsilon': 1.7391964721675945e-06, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 01:59:39,428] Trial 222 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6438962986495135, 'batch_size': 195, 'attention_heads': 11, 'hidden_dimension': 220, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3123420984332869, 'global_pooling': 'max', 'learning_rate': 0.001759603678253359, 'weight_decay': 8.438540285994796e-06, 'beta_0': 0.8569149285951944, 'beta_1': 0.9823476494774697, 'epsilon': 9.661213909768975e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 02:09:01,485] Trial 223 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5782044563646733, 'batch_size': 139, 'attention_heads': 11, 'hidden_dimension': 197, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3230616640013939, 'global_pooling': 'mean', 'learning_rate': 0.0013670918465583342, 'weight_decay': 9.466809494466037e-06, 'beta_0': 0.8635809560452039, 'beta_1': 0.9836043829287023, 'epsilon': 6.048942622788299e-07, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 02:20:35,270] Trial 224 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.589405607969494, 'batch_size': 182, 'attention_heads': 12, 'hidden_dimension': 211, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34968590438066965, 'global_pooling': 'mean', 'learning_rate': 0.0008948928805515676, 'weight_decay': 1.897396037816889e-05, 'beta_0': 0.8588706525724458, 'beta_1': 0.9839623923845287, 'epsilon': 5.083989854529809e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 02:32:39,242] Trial 225 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5903056409993025, 'batch_size': 183, 'attention_heads': 12, 'hidden_dimension': 203, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3593372100752194, 'global_pooling': 'mean', 'learning_rate': 0.0008872441417793748, 'weight_decay': 1.915965806902632e-05, 'beta_0': 0.8584376382348251, 'beta_1': 0.9834036696613808, 'epsilon': 4.6731532796708147e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 02:43:39,596] Trial 226 finished with value: 0.8704128440366973 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5987904214828449, 'batch_size': 175, 'attention_heads': 12, 'hidden_dimension': 210, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35135388246224075, 'global_pooling': 'mean', 'learning_rate': 0.0007186726701217066, 'weight_decay': 1.7539617784291178e-05, 'beta_0': 0.8551702671053105, 'beta_1': 0.984071886285981, 'epsilon': 3.808280338244169e-07, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 02:56:05,135] Trial 227 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5212881300792706, 'batch_size': 179, 'attention_heads': 12, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3434914350750037, 'global_pooling': 'mean', 'learning_rate': 0.0009851651074204723, 'weight_decay': 1.3395499710860056e-05, 'beta_0': 0.8596678466444188, 'beta_1': 0.9839018750201615, 'epsilon': 1.2552725298674634e-06, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 03:08:12,550] Trial 228 finished with value: 0.8853211009174312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5673245700668845, 'batch_size': 185, 'attention_heads': 12, 'hidden_dimension': 215, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3505855117714157, 'global_pooling': 'mean', 'learning_rate': 0.0005324539576453385, 'weight_decay': 6.094116078081753e-06, 'beta_0': 0.8618739726606641, 'beta_1': 0.9826784281215087, 'epsilon': 5.362755215760938e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 03:18:31,648] Trial 229 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6826250859581408, 'batch_size': 205, 'attention_heads': 9, 'hidden_dimension': 226, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36913084823375786, 'global_pooling': 'mean', 'learning_rate': 0.0011283133126298284, 'weight_decay': 7.816605414884089e-06, 'beta_0': 0.8658753616820485, 'beta_1': 0.9843805586821928, 'epsilon': 7.807540801842039e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 03:32:11,448] Trial 230 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5366657267811547, 'batch_size': 190, 'attention_heads': 12, 'hidden_dimension': 211, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3572705435638221, 'global_pooling': 'sum', 'learning_rate': 0.0007952844272968515, 'weight_decay': 1.005822766999667e-05, 'beta_0': 0.8533245322274015, 'beta_1': 0.9831106764377289, 'epsilon': 1.4408936845617906e-06, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 03:44:05,868] Trial 231 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5516991658930267, 'batch_size': 252, 'attention_heads': 10, 'hidden_dimension': 246, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38539823992215905, 'global_pooling': 'mean', 'learning_rate': 0.001455884623410931, 'weight_decay': 1.1370101503298023e-05, 'beta_0': 0.8504040661826953, 'beta_1': 0.982204811890491, 'epsilon': 9.518589111280099e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 03:50:56,524] Trial 232 finished with value: 0.8818807339449541 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.63535082201194, 'batch_size': 175, 'attention_heads': 11, 'hidden_dimension': 106, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36369421505876837, 'global_pooling': 'mean', 'learning_rate': 0.0019795282128603113, 'weight_decay': 6.732592285244839e-06, 'beta_0': 0.8742916011958195, 'beta_1': 0.9838367474447006, 'epsilon': 1.1231760888165342e-06, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:01:12,296] Trial 233 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5818060807780433, 'batch_size': 180, 'attention_heads': 11, 'hidden_dimension': 200, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3163595690814502, 'global_pooling': 'mean', 'learning_rate': 0.0012112930395794363, 'weight_decay': 2.8073763241439622e-06, 'beta_0': 0.8683773905756693, 'beta_1': 0.9849049090504165, 'epsilon': 6.658861517406309e-07, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:11:06,592] Trial 234 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5760201307541938, 'batch_size': 181, 'attention_heads': 11, 'hidden_dimension': 203, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3141520404226284, 'global_pooling': 'mean', 'learning_rate': 0.0009896554898960555, 'weight_decay': 2.5299599236536137e-06, 'beta_0': 0.870605282876848, 'beta_1': 0.9851398269635966, 'epsilon': 4.781218719769071e-07, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:22:27,524] Trial 235 finished with value: 0.8830275229357798 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6011615056629236, 'batch_size': 187, 'attention_heads': 13, 'hidden_dimension': 198, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30657637928475673, 'global_pooling': 'mean', 'learning_rate': 0.001198485989570783, 'weight_decay': 2.9730247688491317e-06, 'beta_0': 0.8682192046552927, 'beta_1': 0.9847491948824107, 'epsilon': 6.911001289800338e-07, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:32:48,360] Trial 236 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5841236561125619, 'batch_size': 177, 'attention_heads': 11, 'hidden_dimension': 208, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3199442639905609, 'global_pooling': 'mean', 'learning_rate': 0.0015304200497446368, 'weight_decay': 2.2901760554623192e-06, 'beta_0': 0.8657229159800217, 'beta_1': 0.9842985223066305, 'epsilon': 5.897750077314039e-07, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:40:37,760] Trial 237 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6129141404945551, 'batch_size': 170, 'attention_heads': 8, 'hidden_dimension': 173, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30680917503386423, 'global_pooling': 'mean', 'learning_rate': 0.0008430688415293313, 'weight_decay': 0.0009297645954269866, 'beta_0': 0.8634702342821069, 'beta_1': 0.9856506169048865, 'epsilon': 3.7025481486378087e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:48:37,095] Trial 238 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5580112084761448, 'batch_size': 170, 'attention_heads': 8, 'hidden_dimension': 173, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30539228401459373, 'global_pooling': 'mean', 'learning_rate': 0.0006325204401491205, 'weight_decay': 3.2275224800892915e-06, 'beta_0': 0.8630708212047193, 'beta_1': 0.9856906628501959, 'epsilon': 3.471467460602465e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 04:55:32,827] Trial 239 finished with value: 0.8772935779816514 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6228139437250263, 'batch_size': 171, 'attention_heads': 7, 'hidden_dimension': 150, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31390563647105396, 'global_pooling': 'mean', 'learning_rate': 0.00044905280260607196, 'weight_decay': 0.00010392689383620505, 'beta_0': 0.8000284708732247, 'beta_1': 0.9855975327270862, 'epsilon': 8.045255141055302e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 05:04:35,899] Trial 240 finished with value: 0.8853211009174312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6140724697616763, 'batch_size': 157, 'attention_heads': 9, 'hidden_dimension': 191, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30996360776872095, 'global_pooling': 'mean', 'learning_rate': 0.0011293290554527959, 'weight_decay': 0.0001770345084136792, 'beta_0': 0.8674908802618063, 'beta_1': 0.9852652091925876, 'epsilon': 3.930765445037456e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
slurmstepd: error: *** JOB 14054779 ON gpu046 CANCELLED AT 2024-12-04T05:06:49 DUE TO TIME LIMIT ***
