[I 2024-12-03 05:05:57,699] Using an existing study with name 'SST-2-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:04,410] Trial 137 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5973736469945329, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41946052633916214, 'global_pooling': 'max', 'learning_rate': 0.0012420954341620801, 'weight_decay': 6.278651230241999e-05, 'beta_0': 0.8342667813506597, 'beta_1': 0.9897271852962058, 'epsilon': 2.0944852661910325e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 08:15:31,519] Trial 175 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5539793887459266, 'batch_size': 34, 'attention_heads': 13, 'hidden_dimension': 37, 'number_of_hidden_layers': 4, 'dropout_rate': 0.500177569047977, 'global_pooling': 'max', 'learning_rate': 0.0006977976905940302, 'weight_decay': 0.0002038117199287478, 'beta_0': 0.8378377339902303, 'beta_1': 0.9900168579668418, 'epsilon': 1.3319095840442942e-05, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:22:22,867] Trial 176 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5809139122384598, 'batch_size': 127, 'attention_heads': 13, 'hidden_dimension': 196, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48316197395886856, 'global_pooling': 'max', 'learning_rate': 0.0023796090850336247, 'weight_decay': 4.941648169843751e-05, 'beta_0': 0.8434229263916666, 'beta_1': 0.9888805818244588, 'epsilon': 2.028060977395024e-06, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:29:43,483] Trial 177 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6628449023950552, 'batch_size': 105, 'attention_heads': 12, 'hidden_dimension': 208, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45514337029954266, 'global_pooling': 'max', 'learning_rate': 0.009403994353864404, 'weight_decay': 1.9982721191699417e-06, 'beta_0': 0.8527237695298718, 'beta_1': 0.9903247980722673, 'epsilon': 2.2215376256959752e-05, 'balanced_loss': True, 'epochs': 72, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:37:55,773] Trial 178 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.629527908608386, 'batch_size': 42, 'attention_heads': 11, 'hidden_dimension': 217, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4719610173936299, 'global_pooling': 'max', 'learning_rate': 0.0008919004752799891, 'weight_decay': 6.838618196564406e-05, 'beta_0': 0.8333768625440173, 'beta_1': 0.989219388121832, 'epsilon': 1.2405548312937385e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:41:55,065] Trial 179 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6380630441193359, 'batch_size': 69, 'attention_heads': 13, 'hidden_dimension': 54, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37311975271026243, 'global_pooling': 'max', 'learning_rate': 0.001426143010744245, 'weight_decay': 0.0001817180214238091, 'beta_0': 0.8560486727245761, 'beta_1': 0.9970321908932035, 'epsilon': 1.6089243916223274e-06, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:46:55,154] Trial 180 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6535019244973778, 'batch_size': 53, 'attention_heads': 12, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4886351483910607, 'global_pooling': 'max', 'learning_rate': 0.0032285846339483145, 'weight_decay': 0.00013267524701056805, 'beta_0': 0.8495107578146228, 'beta_1': 0.9895068335524891, 'epsilon': 1.0269483262901141e-07, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:52:31,953] Trial 181 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7707549968736512, 'batch_size': 111, 'attention_heads': 14, 'hidden_dimension': 161, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4481957899932998, 'global_pooling': 'max', 'learning_rate': 0.0018529507620528751, 'weight_decay': 0.00011731397247958466, 'beta_0': 0.8196592835195922, 'beta_1': 0.9907403889524473, 'epsilon': 8.58914384515051e-06, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:56:36,120] Trial 182 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6299386415645624, 'batch_size': 90, 'attention_heads': 13, 'hidden_dimension': 34, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4574128780257425, 'global_pooling': 'max', 'learning_rate': 0.0010099837149829673, 'weight_decay': 0.00014717369909667916, 'beta_0': 0.8419924930389835, 'beta_1': 0.9897815583384447, 'epsilon': 3.950353596629907e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:00:39,488] Trial 183 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6125926665858671, 'batch_size': 95, 'attention_heads': 13, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4528908702519104, 'global_pooling': 'max', 'learning_rate': 0.0011816732128442941, 'weight_decay': 0.00010089064834085013, 'beta_0': 0.8379251405942277, 'beta_1': 0.9858484036303469, 'epsilon': 3.059356182248088e-06, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:04:45,454] Trial 184 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5920331702993387, 'batch_size': 116, 'attention_heads': 13, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46384797530410454, 'global_pooling': 'max', 'learning_rate': 0.0011917370650027235, 'weight_decay': 0.00010509013890328305, 'beta_0': 0.8364268342122183, 'beta_1': 0.9849343515474178, 'epsilon': 2.3351970029888322e-06, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:10:11,884] Trial 185 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6128982099858842, 'batch_size': 104, 'attention_heads': 12, 'hidden_dimension': 114, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43870783576364025, 'global_pooling': 'max', 'learning_rate': 0.0014322301616054014, 'weight_decay': 2.579632551212174e-06, 'beta_0': 0.8397299425422627, 'beta_1': 0.9864298357471776, 'epsilon': 8.602489969127676e-07, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:15:47,704] Trial 186 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6008288426993841, 'batch_size': 121, 'attention_heads': 13, 'hidden_dimension': 140, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44755071194419893, 'global_pooling': 'max', 'learning_rate': 0.0021686558515224335, 'weight_decay': 8.347616169961836e-05, 'beta_0': 0.8444482306886655, 'beta_1': 0.980182206799099, 'epsilon': 3.2516646287882647e-06, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:21:27,484] Trial 187 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5995881014600136, 'batch_size': 123, 'attention_heads': 13, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4450230497942939, 'global_pooling': 'max', 'learning_rate': 0.0027343354076895835, 'weight_decay': 8.144004198357106e-05, 'beta_0': 0.8464771372624703, 'beta_1': 0.9819347456354083, 'epsilon': 3.401546434647122e-06, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:27:54,370] Trial 188 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5812392138045619, 'batch_size': 118, 'attention_heads': 14, 'hidden_dimension': 152, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44963844904806693, 'global_pooling': 'max', 'learning_rate': 0.0021213882120484613, 'weight_decay': 5.7223778416212325e-05, 'beta_0': 0.8259398728727991, 'beta_1': 0.9980781275136895, 'epsilon': 2.974931326480058e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:34:55,614] Trial 189 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.572273325538422, 'batch_size': 113, 'attention_heads': 15, 'hidden_dimension': 153, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45324334144861594, 'global_pooling': 'max', 'learning_rate': 0.0021893640763972024, 'weight_decay': 7.314249793836919e-05, 'beta_0': 0.8255405372417246, 'beta_1': 0.998253976636203, 'epsilon': 4.1047041266981176e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:41:27,597] Trial 190 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5863073788058141, 'batch_size': 119, 'attention_heads': 14, 'hidden_dimension': 144, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4388813025773816, 'global_pooling': 'max', 'learning_rate': 0.004052709361416323, 'weight_decay': 8.810273905772166e-05, 'beta_0': 0.827232595693046, 'beta_1': 0.9983041608430023, 'epsilon': 3.014130701220254e-06, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:48:13,719] Trial 191 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5608951544130004, 'batch_size': 94, 'attention_heads': 16, 'hidden_dimension': 148, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4260512586916237, 'global_pooling': 'mean', 'learning_rate': 0.0018850187464448424, 'weight_decay': 5.937493091129001e-06, 'beta_0': 0.8293571473788962, 'beta_1': 0.9858885758343344, 'epsilon': 2.5321457043095923e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 09:54:22,111] Trial 192 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.612519389342193, 'batch_size': 131, 'attention_heads': 14, 'hidden_dimension': 140, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4474697710519391, 'global_pooling': 'max', 'learning_rate': 0.0016374361369713031, 'weight_decay': 6.494507577030143e-05, 'beta_0': 0.8318803648226611, 'beta_1': 0.998804622145971, 'epsilon': 4.821372724824707e-06, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:00:11,673] Trial 193 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6028861940153097, 'batch_size': 120, 'attention_heads': 13, 'hidden_dimension': 130, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45504232683224033, 'global_pooling': 'max', 'learning_rate': 0.002585425338163638, 'weight_decay': 5.566508684682186e-05, 'beta_0': 0.8222506982824859, 'beta_1': 0.9922663244118982, 'epsilon': 2.8097926035514694e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:06:23,650] Trial 194 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6238624676014063, 'batch_size': 108, 'attention_heads': 13, 'hidden_dimension': 155, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5100231848045618, 'global_pooling': 'max', 'learning_rate': 0.002051858022176139, 'weight_decay': 4.516527814445858e-05, 'beta_0': 0.8867637517618114, 'beta_1': 0.9989804118076329, 'epsilon': 1.9191450364620546e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:11:20,839] Trial 195 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5813420321943586, 'batch_size': 107, 'attention_heads': 8, 'hidden_dimension': 157, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5090704464582503, 'global_pooling': 'max', 'learning_rate': 0.002116848162079129, 'weight_decay': 3.04615033380525e-05, 'beta_0': 0.8863634006016039, 'beta_1': 0.998547913436903, 'epsilon': 1.8022056529457473e-06, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:17:56,508] Trial 196 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6165032438895038, 'batch_size': 114, 'attention_heads': 13, 'hidden_dimension': 170, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4492418317206466, 'global_pooling': 'max', 'learning_rate': 0.0029588869574156793, 'weight_decay': 4.245416476777134e-05, 'beta_0': 0.8483590066469406, 'beta_1': 0.9810452990641682, 'epsilon': 2.0053192077924294e-06, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:28:06,748] Trial 197 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6234481695671358, 'batch_size': 107, 'attention_heads': 13, 'hidden_dimension': 151, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5313199761235198, 'global_pooling': 'max', 'learning_rate': 2.226775721697556e-05, 'weight_decay': 4.629902958734198e-05, 'beta_0': 0.8447554728892481, 'beta_1': 0.9978303464567779, 'epsilon': 1.3866500807493465e-06, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:34:27,259] Trial 198 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5356978799324563, 'batch_size': 100, 'attention_heads': 14, 'hidden_dimension': 146, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5189709393640694, 'global_pooling': 'max', 'learning_rate': 0.002180697662608941, 'weight_decay': 9.67539227010402e-05, 'beta_0': 0.838254723700514, 'beta_1': 0.9980668553970005, 'epsilon': 1.2186327045695036e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:40:38,993] Trial 199 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6047016116868575, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43456886203268325, 'global_pooling': 'max', 'learning_rate': 0.003469691326837478, 'weight_decay': 1.0893256354227199e-06, 'beta_0': 0.8507401370694795, 'beta_1': 0.998776428285958, 'epsilon': 6.680208981336623e-08, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:47:32,267] Trial 200 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5905563990621839, 'batch_size': 111, 'attention_heads': 14, 'hidden_dimension': 157, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5536729119614597, 'global_pooling': 'sum', 'learning_rate': 0.0016829269746558716, 'weight_decay': 6.357659425987306e-05, 'beta_0': 0.841068088702662, 'beta_1': 0.984575995332575, 'epsilon': 3.4846583513147365e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:52:21,652] Trial 201 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5706450387911021, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 66, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4640488184591583, 'global_pooling': 'max', 'learning_rate': 0.001346846280458345, 'weight_decay': 3.846659187719079e-05, 'beta_0': 0.8358309874311964, 'beta_1': 0.9989892060663629, 'epsilon': 2.3730591956186852e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 10:56:28,139] Trial 202 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6396242332698375, 'batch_size': 127, 'attention_heads': 13, 'hidden_dimension': 37, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5111959182941926, 'global_pooling': 'max', 'learning_rate': 0.001848818283719381, 'weight_decay': 5.501567283637882e-05, 'beta_0': 0.8964910888144534, 'beta_1': 0.9800659024822614, 'epsilon': 3.6592136930978946e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:00:31,228] Trial 203 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.625311859815049, 'batch_size': 123, 'attention_heads': 13, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4417354696071853, 'global_pooling': 'max', 'learning_rate': 0.002512236797952135, 'weight_decay': 7.766940538617473e-05, 'beta_0': 0.8899988785586023, 'beta_1': 0.9905701400468162, 'epsilon': 3.1195464297940317e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:07:16,372] Trial 204 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6410492801275169, 'batch_size': 118, 'attention_heads': 13, 'hidden_dimension': 177, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4951030223201755, 'global_pooling': 'max', 'learning_rate': 0.0007088845244857917, 'weight_decay': 5.0448927655244154e-05, 'beta_0': 0.8920058695220063, 'beta_1': 0.991247678467658, 'epsilon': 1.6292287878661578e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:11:26,767] Trial 205 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6054861236830767, 'batch_size': 114, 'attention_heads': 13, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4486702014019624, 'global_pooling': 'max', 'learning_rate': 0.001459265379644872, 'weight_decay': 5.6370449343551385e-05, 'beta_0': 0.8335717234749048, 'beta_1': 0.9817636562836294, 'epsilon': 2.11917550892241e-06, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:15:22,419] Trial 206 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6508881090000671, 'batch_size': 126, 'attention_heads': 12, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4593237820998746, 'global_pooling': 'max', 'learning_rate': 0.0008426914523439864, 'weight_decay': 8.814954849814083e-05, 'beta_0': 0.8477298809588942, 'beta_1': 0.9972510201926185, 'epsilon': 9.47471902487346e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:20:29,392] Trial 207 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6256855143956433, 'batch_size': 104, 'attention_heads': 13, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5047086150766704, 'global_pooling': 'max', 'learning_rate': 0.0012519768388175802, 'weight_decay': 7.114819232299071e-05, 'beta_0': 0.8442263403596573, 'beta_1': 0.9903288295234003, 'epsilon': 7.040353287379548e-06, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:25:50,390] Trial 208 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5513907434824189, 'batch_size': 120, 'attention_heads': 14, 'hidden_dimension': 109, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5239043948416173, 'global_pooling': 'max', 'learning_rate': 0.0020889815215110797, 'weight_decay': 0.00010670745007714738, 'beta_0': 0.8801650265499873, 'beta_1': 0.9854929066045529, 'epsilon': 2.833813868792673e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:30:48,303] Trial 209 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5773415894418911, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4435154919549899, 'global_pooling': 'max', 'learning_rate': 0.001673897475649226, 'weight_decay': 6.057181269696019e-05, 'beta_0': 0.8812178799051742, 'beta_1': 0.9899663519791941, 'epsilon': 4.8207208847344e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:35:21,671] Trial 210 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8406173134890713, 'batch_size': 109, 'attention_heads': 13, 'hidden_dimension': 90, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4548044203676724, 'global_pooling': 'max', 'learning_rate': 0.003148726873353211, 'weight_decay': 2.749198718528726e-05, 'beta_0': 0.8985416357109866, 'beta_1': 0.980676275525661, 'epsilon': 2.861715152590514e-05, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:40:41,136] Trial 211 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5935064676667671, 'batch_size': 95, 'attention_heads': 15, 'hidden_dimension': 100, 'number_of_hidden_layers': 3, 'dropout_rate': 0.498771949300476, 'global_pooling': 'max', 'learning_rate': 0.0009269868343169354, 'weight_decay': 3.698245186012591e-05, 'beta_0': 0.8386555096607329, 'beta_1': 0.9918050271831855, 'epsilon': 1.7963339006277804e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:44:56,137] Trial 212 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.665952249429391, 'batch_size': 129, 'attention_heads': 12, 'hidden_dimension': 41, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49208980254310036, 'global_pooling': 'max', 'learning_rate': 0.0011428758778759963, 'weight_decay': 0.00011429031422340575, 'beta_0': 0.8943487113607688, 'beta_1': 0.9984064313632318, 'epsilon': 1.5445387403888793e-08, 'balanced_loss': True, 'epochs': 78, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 11:54:28,964] Trial 213 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6765210904033399, 'batch_size': 38, 'attention_heads': 12, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48041333360186955, 'global_pooling': 'max', 'learning_rate': 0.0011080665575378642, 'weight_decay': 0.0001229544170899428, 'beta_0': 0.8415071443347462, 'beta_1': 0.9884065681440944, 'epsilon': 1.0866571489117917e-06, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
