Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:00,691] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:56,016] Trial 146 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6271186508002639, 'batch_size': 205, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523201568725973, 'global_pooling': 'max', 'learning_rate': 0.0015886096861535731, 'weight_decay': 0.0005680471842307092, 'beta_0': 0.8189821496792518, 'beta_1': 0.9966650625341859, 'epsilon': 2.616372779039178e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:03:54,885] Trial 184 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6816394809920986, 'batch_size': 104, 'attention_heads': 15, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5267042008681232, 'global_pooling': 'max', 'learning_rate': 0.0009720587331236491, 'weight_decay': 4.0082449893275385e-05, 'beta_0': 0.8242961669647555, 'beta_1': 0.9972896669857645, 'epsilon': 8.798514190395179e-08, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:09:00,455] Trial 185 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6574423292624924, 'batch_size': 137, 'attention_heads': 16, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5608988309053228, 'global_pooling': 'max', 'learning_rate': 0.0013513178683025955, 'weight_decay': 2.8370648688127368e-05, 'beta_0': 0.8185919173904953, 'beta_1': 0.9929401198574681, 'epsilon': 6.3245535852935e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:13:45,461] Trial 186 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7140283293118568, 'batch_size': 123, 'attention_heads': 13, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5491330658792937, 'global_pooling': 'max', 'learning_rate': 0.0004111087249528529, 'weight_decay': 1.2888865045424944e-05, 'beta_0': 0.8077006047741139, 'beta_1': 0.9963831488321336, 'epsilon': 3.4607707241441656e-05, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:19:02,964] Trial 187 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5164040461533342, 'batch_size': 216, 'attention_heads': 16, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5193821155854705, 'global_pooling': 'max', 'learning_rate': 0.002565060929791418, 'weight_decay': 3.542145666780438e-05, 'beta_0': 0.8508938518836356, 'beta_1': 0.9968633797755807, 'epsilon': 1.6243055224015507e-07, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:22:53,364] Trial 188 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6695402844550421, 'batch_size': 199, 'attention_heads': 11, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.489059052341778, 'global_pooling': 'max', 'learning_rate': 0.0010966969772656134, 'weight_decay': 2.3143286533173153e-05, 'beta_0': 0.8136191840425071, 'beta_1': 0.9942848600250087, 'epsilon': 6.104248875962481e-08, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 10, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:27:35,436] Trial 189 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.64726125534928, 'batch_size': 62, 'attention_heads': 13, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5370934062238994, 'global_pooling': 'max', 'learning_rate': 0.0007992943663326236, 'weight_decay': 1.7849185210771648e-05, 'beta_0': 0.811165283853862, 'beta_1': 0.996181662537004, 'epsilon': 2.74725560409399e-06, 'balanced_loss': True, 'epochs': 54, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:32:13,953] Trial 190 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5895627722345262, 'batch_size': 174, 'attention_heads': 14, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5060697771420607, 'global_pooling': 'max', 'learning_rate': 0.0016164590356051182, 'weight_decay': 0.00032923208647443703, 'beta_0': 0.820630495165779, 'beta_1': 0.9956260407156869, 'epsilon': 4.035511606011904e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:36:40,720] Trial 191 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5608532238349021, 'batch_size': 191, 'attention_heads': 12, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4653693644223782, 'global_pooling': 'max', 'learning_rate': 0.0019143183421085974, 'weight_decay': 6.565024591622655e-05, 'beta_0': 0.8267784867189345, 'beta_1': 0.9980978789825911, 'epsilon': 1.604182417504603e-05, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:42:58,325] Trial 192 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.638808129793222, 'batch_size': 182, 'attention_heads': 12, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47177118328128126, 'global_pooling': 'max', 'learning_rate': 1.805730247669611e-05, 'weight_decay': 2.4480068846112655e-05, 'beta_0': 0.8090334105033131, 'beta_1': 0.9985925316301828, 'epsilon': 2.905183000980315e-05, 'balanced_loss': True, 'epochs': 70, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:47:13,920] Trial 193 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6255575149686483, 'batch_size': 40, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4584313814447911, 'global_pooling': 'max', 'learning_rate': 0.00133946819942802, 'weight_decay': 2.6204501608284777e-05, 'beta_0': 0.8099410286796602, 'beta_1': 0.9976107624069056, 'epsilon': 2.410296117220151e-05, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:51:38,279] Trial 194 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.658867175407466, 'batch_size': 203, 'attention_heads': 13, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46609066268541754, 'global_pooling': 'max', 'learning_rate': 0.0011324437525039805, 'weight_decay': 1.588398953497525e-05, 'beta_0': 0.8157507662385082, 'beta_1': 0.9984500426230711, 'epsilon': 2.9406658244542226e-07, 'balanced_loss': True, 'epochs': 73, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 08:55:34,137] Trial 195 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6186592906457653, 'batch_size': 195, 'attention_heads': 12, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.477780180096089, 'global_pooling': 'max', 'learning_rate': 0.0014658357612844246, 'weight_decay': 3.0699460786662514e-05, 'beta_0': 0.8069853681547076, 'beta_1': 0.9971833360156684, 'epsilon': 2.9340668554499586e-05, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:00:09,973] Trial 196 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6375518624731372, 'batch_size': 84, 'attention_heads': 12, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48400260264986505, 'global_pooling': 'max', 'learning_rate': 0.0009041471439020833, 'weight_decay': 0.0001112598965229791, 'beta_0': 0.8126983470944315, 'beta_1': 0.9977391467417683, 'epsilon': 6.089345114914467e-05, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 11, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:04:31,158] Trial 197 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6493692324920479, 'batch_size': 98, 'attention_heads': 13, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5316446526950063, 'global_pooling': 'max', 'learning_rate': 0.0006341769481843489, 'weight_decay': 0.00021890160962489643, 'beta_0': 0.8171975070360332, 'beta_1': 0.9967874035154854, 'epsilon': 8.387625827264612e-07, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:08:36,272] Trial 198 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6902580011654228, 'batch_size': 56, 'attention_heads': 12, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45278745432834966, 'global_pooling': 'max', 'learning_rate': 0.0029828226530127415, 'weight_decay': 1.9919387547773912e-05, 'beta_0': 0.8045711789302116, 'beta_1': 0.9974563998694791, 'epsilon': 3.5434269850004646e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 11, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:14:04,447] Trial 199 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6043190363666966, 'batch_size': 220, 'attention_heads': 16, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47086019337289553, 'global_pooling': 'max', 'learning_rate': 0.0003273219922999903, 'weight_decay': 0.0005060357635010533, 'beta_0': 0.8151162684164234, 'beta_1': 0.9980965590353118, 'epsilon': 2.138033630380775e-05, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:18:43,410] Trial 200 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6763691311980644, 'batch_size': 186, 'attention_heads': 13, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5475437098330024, 'global_pooling': 'max', 'learning_rate': 0.002040738649022384, 'weight_decay': 4.151560767814811e-05, 'beta_0': 0.8190886453332263, 'beta_1': 0.9987266106692959, 'epsilon': 2.7253896071697103e-05, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:22:58,232] Trial 201 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6290462493881206, 'batch_size': 196, 'attention_heads': 11, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4410987062999447, 'global_pooling': 'max', 'learning_rate': 0.0007678013391349147, 'weight_decay': 3.498508849483611e-05, 'beta_0': 0.8110478568657804, 'beta_1': 0.9964462149380251, 'epsilon': 4.726082043697639e-05, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 10, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:27:53,478] Trial 202 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6213460894274132, 'batch_size': 146, 'attention_heads': 13, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5609734697969555, 'global_pooling': 'max', 'learning_rate': 0.000375510450313477, 'weight_decay': 2.516219219083645e-05, 'beta_0': 0.8231112173978244, 'beta_1': 0.9971154287842344, 'epsilon': 3.52455362678515e-05, 'balanced_loss': True, 'epochs': 171, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:32:47,458] Trial 203 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6443228931406558, 'batch_size': 136, 'attention_heads': 13, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.549772263441668, 'global_pooling': 'max', 'learning_rate': 0.0002880260687836488, 'weight_decay': 2.795939429177718e-05, 'beta_0': 0.8219875281253595, 'beta_1': 0.9966290104286213, 'epsilon': 3.09575278790415e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:36:41,281] Trial 204 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6100059194843725, 'batch_size': 149, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5154121316644312, 'global_pooling': 'max', 'learning_rate': 0.0004760566119506917, 'weight_decay': 2.3122273621587505e-05, 'beta_0': 0.8241562216591685, 'beta_1': 0.995984956939763, 'epsilon': 1.823648961009781e-05, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 11, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:40:39,801] Trial 205 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6311498004879157, 'batch_size': 130, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5586335376720921, 'global_pooling': 'max', 'learning_rate': 0.015399304481421102, 'weight_decay': 1.8307482933800856e-05, 'beta_0': 0.8200706122792119, 'beta_1': 0.9961981541070434, 'epsilon': 2.3883274109300557e-05, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 12, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:44:56,346] Trial 206 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.665647043214933, 'batch_size': 190, 'attention_heads': 13, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5377260840004779, 'global_pooling': 'max', 'learning_rate': 0.0011583720115868035, 'weight_decay': 3.119334744123088e-05, 'beta_0': 0.8177358761607759, 'beta_1': 0.9947019916796274, 'epsilon': 3.661944210345735e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:49:19,487] Trial 207 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6629105660079802, 'batch_size': 189, 'attention_heads': 12, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5360419468257667, 'global_pooling': 'max', 'learning_rate': 0.0012040634961507546, 'weight_decay': 3.466182621930174e-05, 'beta_0': 0.8173622419521873, 'beta_1': 0.9946853359983494, 'epsilon': 4.127361692638725e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:53:52,934] Trial 208 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.660807603690265, 'batch_size': 183, 'attention_heads': 13, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5361308753566837, 'global_pooling': 'mean', 'learning_rate': 0.0010984592236778768, 'weight_decay': 4.769421420730304e-05, 'beta_0': 0.8174850937100129, 'beta_1': 0.9948422436771338, 'epsilon': 4.998305994162987e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 09:58:12,986] Trial 209 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6993933759653899, 'batch_size': 190, 'attention_heads': 13, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5258722859773476, 'global_pooling': 'max', 'learning_rate': 0.0009493950006448666, 'weight_decay': 3.4307762752035634e-05, 'beta_0': 0.8138984819333674, 'beta_1': 0.9944977832187946, 'epsilon': 3.97228094552677e-05, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:02:29,279] Trial 210 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6695118572881927, 'batch_size': 180, 'attention_heads': 13, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5428800296857653, 'global_pooling': 'max', 'learning_rate': 0.0013502486964684713, 'weight_decay': 3.763272123917556e-05, 'beta_0': 0.8171662582934669, 'beta_1': 0.9936233497973227, 'epsilon': 5.273853710224598e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:06:49,249] Trial 211 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6843502094074805, 'batch_size': 208, 'attention_heads': 12, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5314943697844489, 'global_pooling': 'max', 'learning_rate': 0.0015279126740958442, 'weight_decay': 3.091391269013531e-05, 'beta_0': 0.8191243506128087, 'beta_1': 0.9939122205884398, 'epsilon': 7.953406241588638e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:11:12,181] Trial 212 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6570089833461662, 'batch_size': 193, 'attention_heads': 12, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5202563912619202, 'global_pooling': 'max', 'learning_rate': 0.001206383397126909, 'weight_decay': 2.705403428192286e-05, 'beta_0': 0.8150903005102214, 'beta_1': 0.9944246665044139, 'epsilon': 3.847564622784504e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:15:27,417] Trial 213 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6559222019144317, 'batch_size': 192, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5197485654561481, 'global_pooling': 'max', 'learning_rate': 0.0012247846849552258, 'weight_decay': 2.9033239396599737e-05, 'beta_0': 0.8947812034563681, 'beta_1': 0.9942640715094433, 'epsilon': 2.113638118745957e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:19:35,907] Trial 214 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6727015747942752, 'batch_size': 187, 'attention_heads': 11, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5087285359723333, 'global_pooling': 'max', 'learning_rate': 0.001082739400034017, 'weight_decay': 0.0006057186308049173, 'beta_0': 0.8150674569633485, 'beta_1': 0.9949913844965578, 'epsilon': 4.191184316616823e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:23:50,209] Trial 215 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.666875996000899, 'batch_size': 198, 'attention_heads': 12, 'hidden_dimension': 157, 'number_of_hidden_layers': 1, 'dropout_rate': 0.533311629202494, 'global_pooling': 'max', 'learning_rate': 0.0017254335476132225, 'weight_decay': 4.425072034358557e-05, 'beta_0': 0.8163627827153559, 'beta_1': 0.994704085594123, 'epsilon': 6.288039934851589e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:28:34,960] Trial 216 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6533700800223478, 'batch_size': 156, 'attention_heads': 12, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5261771901876271, 'global_pooling': 'max', 'learning_rate': 0.0008531975097618252, 'weight_decay': 2.043673907730723e-05, 'beta_0': 0.8131100526402082, 'beta_1': 0.9953549685033101, 'epsilon': 3.6800684537203024e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:33:41,685] Trial 217 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.646178828681678, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.53698500352549, 'global_pooling': 'max', 'learning_rate': 0.0007079378467643415, 'weight_decay': 8.998862642186006e-05, 'beta_0': 0.8183432592431505, 'beta_1': 0.9932979869270586, 'epsilon': 3.05193975526602e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:37:59,944] Trial 218 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6783003303092663, 'batch_size': 203, 'attention_heads': 16, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5210938326527605, 'global_pooling': 'max', 'learning_rate': 0.0013044685743260984, 'weight_decay': 3.662906464238328e-05, 'beta_0': 0.8213401872677718, 'beta_1': 0.9939398096621759, 'epsilon': 4.558514254186434e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:42:09,852] Trial 219 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6601352960093261, 'batch_size': 225, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5453685237062822, 'global_pooling': 'sum', 'learning_rate': 0.0018731258621759305, 'weight_decay': 1.484779501485026e-05, 'beta_0': 0.8160534350264979, 'beta_1': 0.9953471435640969, 'epsilon': 2.5286030336241075e-05, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:46:01,203] Trial 220 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6874001085975142, 'batch_size': 190, 'attention_heads': 15, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5145691885742258, 'global_pooling': 'max', 'learning_rate': 0.0010229552706800995, 'weight_decay': 0.00012721609537852264, 'beta_0': 0.8143040140878336, 'beta_1': 0.9942063038164707, 'epsilon': 3.5223910351630956e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:50:47,324] Trial 221 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.638190372876152, 'batch_size': 116, 'attention_heads': 14, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4927982782172172, 'global_pooling': 'max', 'learning_rate': 0.0015648744764987397, 'weight_decay': 0.00016773920366957963, 'beta_0': 0.8200919772550843, 'beta_1': 0.9944385583086459, 'epsilon': 5.703747456402756e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 11, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
